metric_name	metric_direction	composition_id	lambda_high_av	weight_high_effect	model_id	metric_value	oriented_risk	rank	is_winner	regret
relative_l2_response_error	lower_is_better	lambda_0133	0.13300000000000001	0.86699999999999999	pb_latent_additive	0.41198155047266255	0.41198155047266255	1	True	0
relative_l2_response_error	lower_is_better	lambda_0133	0.13300000000000001	0.86699999999999999	pb_linear_additive	0.51831922677729614	0.51831922677729614	4	False	0.10633767630463359
relative_l2_response_error	lower_is_better	lambda_0133	0.13300000000000001	0.86699999999999999	pb_sparse_additive_vae	0.90965204751266715	0.90965204751266715	5	False	0.4976704970400046
relative_l2_response_error	lower_is_better	lambda_0134	0.13400000000000001	0.86599999999999999	pb_biolord_star	0.91363523853826711	0.91363523853826711	6	False	0.50142104470609028
relative_l2_response_error	lower_is_better	lambda_0134	0.13400000000000001	0.86599999999999999	pb_cpa	0.47823274580108699	0.47823274580108699	3	False	0.066018551968910155
relative_l2_response_error	lower_is_better	lambda_0134	0.13400000000000001	0.86599999999999999	pb_decoder_only	0.42956766898755194	0.42956766898755194	2	False	0.017353475155375109
relative_l2_response_error	lower_is_better	lambda_0134	0.13400000000000001	0.86599999999999999	pb_latent_additive	0.41221419383217683	0.41221419383217683	1	True	0
relative_l2_response_error	lower_is_better	lambda_0134	0.13400000000000001	0.86599999999999999	pb_linear_additive	0.51889874812722314	0.51889874812722314	4	False	0.10668455429504631
relative_l2_response_error	lower_is_better	lambda_0134	0.13400000000000001	0.86599999999999999	pb_sparse_additive_vae	0.90955950745084424	0.90955950745084424	5	False	0.49734531361866741
relative_l2_response_error	lower_is_better	lambda_0135	0.13500000000000001	0.86499999999999999	pb_biolord_star	0.91360556775817037	0.91360556775817037	6	False	0.50115873056647908
relative_l2_response_error	lower_is_better	lambda_0135	0.13500000000000001	0.86499999999999999	pb_cpa	0.4783690164233026	0.4783690164233026	3	False	0.065922179231611366
relative_l2_response_error	lower_is_better	lambda_0135	0.13500000000000001	0.86499999999999999	pb_decoder_only	0.42979163983460417	0.42979163983460417	2	False	0.017344802642912938
relative_l2_response_error	lower_is_better	lambda_0135	0.13500000000000001	0.86499999999999999	pb_latent_additive	0.41244683719169123	0.41244683719169123	1	True	0
relative_l2_response_error	lower_is_better	lambda_0135	0.13500000000000001	0.86499999999999999	pb_linear_additive	0.51947826947715026	0.51947826947715026	4	False	0.10703143228545903
relative_l2_response_error	lower_is_better	lambda_0135	0.13500000000000001	0.86499999999999999	pb_sparse_additive_vae	0.90946696738902111	0.90946696738902111	5	False	0.49702013019732988
relative_l2_response_error	lower_is_better	lambda_0136	0.13600000000000001	0.86399999999999999	pb_biolord_star	0.91357589697807351	0.91357589697807351	6	False	0.50089641642686789
relative_l2_response_error	lower_is_better	lambda_0136	0.13600000000000001	0.86399999999999999	pb_cpa	0.47850528704551826	0.47850528704551826	3	False	0.065825806494312689
relative_l2_response_error	lower_is_better	lambda_0136	0.13600000000000001	0.86399999999999999	pb_decoder_only	0.43001561068165645	0.43001561068165645	2	False	0.017336130130450877
relative_l2_response_error	lower_is_better	lambda_0136	0.13600000000000001	0.86399999999999999	pb_latent_additive	0.41267948055120557	0.41267948055120557	1	True	0
relative_l2_response_error	lower_is_better	lambda_0136	0.13600000000000001	0.86399999999999999	pb_linear_additive	0.52005779082707726	0.52005779082707726	4	False	0.10737831027587169
relative_l2_response_error	lower_is_better	lambda_0136	0.13600000000000001	0.86399999999999999	pb_sparse_additive_vae	0.9093744273271982	0.9093744273271982	5	False	0.49669494677599263
relative_l2_response_error	lower_is_better	lambda_0137	0.13700000000000001	0.86299999999999999	pb_biolord_star	0.91354622619797676	0.91354622619797676	6	False	0.50063410228725691
relative_l2_response_error	lower_is_better	lambda_0137	0.13700000000000001	0.86299999999999999	pb_cpa	0.47864155766773386	0.47864155766773386	3	False	0.065729433757014011
relative_l2_response_error	lower_is_better	lambda_0137	0.13700000000000001	0.86299999999999999	pb_decoder_only	0.43023958152870867	0.43023958152870867	2	False	0.017327457617988817
